,pl_name,hostname,pl_masse,pl_rade,pl_dens,pl_eqt,pl_orbper,img,orbit_img
0,TOI-1899 b,TOI-1899,209.7678,12.89,0.54,362.0,29.02,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1899_b_Spc.png
1,TOI-2337 b,TOI-2337,508.52545,10.088,,,2.99432,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2337_b_Spc.png
2,NGTS-11 b,NGTS-11,,8.722,,668.0,,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/NGTS-11_b_Spc.png
3,TOI-2076 b,TOI-2076,,2.5,,870.0,10.35566,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2076_b_Spc.png
4,TOI-2076 c,TOI-2076,,3.38,,734.0,,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2076_c_Spc.png
5,TOI-2076 d,TOI-2076,,3.16,,648.0,,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2076_d_Spc.png
8,WASP-132 c,WASP-132,37.35,1.85,,,1.011534,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/WASP-132_c_Spc.png
12,TOI-1468 c,TOI-1468,,2.014,,308.474359639,15.53243849,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1468_c_Spc.png
13,TOI-1468 b,TOI-1468,,1.455,,623.551198756,1.88053102,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1468_b_Spc.png
17,TOI-125 c,TOI-125,,2.79,,821.0,9.15067,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-125_c_Spc.png
18,WASP-126 c,WASP-126,64.2,,,,7.63,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/WASP-126_c_Spc.png
21,TOI-1266 b,TOI-1266,13.5,2.37,,413.0,10.894843,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1266_b_Spc.png
22,HD 110113 b,HD 110113,,2.011,,1317.66685024,2.53976177,,http://www.exoplanetkyoto.org/exohtml/HD-110113_b_Spc.png
23,HIP 94235 b,HIP 94235,379.0,3.0,,1060.0,7.713057,,http://www.exoplanetkyoto.org/exohtml/HIP-94235_b_Spc.png
25,TOI-5174 b,TOI-5174,,4.593,,808.359509681,12.21993461,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-5174_b_Spc.png
26,TOI-2545 b,TOI-2545,,2.558,,1022.98657776,7.99403672,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2545_b_Spc.png
27,WASP-18 c,WASP-18,55.2,,,,2.1558,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/WASP-18_c_Spc.png
28,TOI-5398 b,TOI-5398,,11.119,,919.0,10.590923,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-5398_b_Spc.png
29,TOI-1749 c,TOI-1749,14.0,2.12,,673.0,4.4929,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1749_c_Spc.png
33,TOI-5238 b,TOI-5238,,5.22,,,4.872171,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-5238_b_Spc.png
35,HD 63935 b,HD 63935,10.8,2.99,2.2,911.0,9.058811,,http://www.exoplanetkyoto.org/exohtml/HD-63935_b_Spc.png
36,TOI-2202 b,TOI-2202,,11.732,,652.05072543,11.91331446,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2202_b_Spc.png
37,DS Tuc A b,DS Tuc A,,5.7,,850.0,8.138268,,http://www.exoplanetkyoto.org/exohtml/DS-Tuc-A_b_Spc.png
39,TOI-2427 b,TOI-2427,,1.8,,1117.0,1.3060011,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2427_b_Spc.png
40,TOI-1749 d,TOI-1749,,2.313,,426.0,9.0446978,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1749_d_Spc.png
41,TIC 172900988 b,TIC 172900988 Aa,837.0,11.3,3.18,,193.965,,http://www.exoplanetkyoto.org/exohtml/TIC-172900988_b_Spc.png
43,GJ 1252 b,GJ 1252,,1.14,,1019.3322198,0.51823846,,http://www.exoplanetkyoto.org/exohtml/GJ-1252_b_Spc.png
45,HD 23472 f,HD 23472,,1.177,,571.945584681,12.16221717,,http://www.exoplanetkyoto.org/exohtml/HD-23472_f_Spc.png
46,HD 23472 d,HD 23472,,0.807,,830.206250848,3.97666395,,http://www.exoplanetkyoto.org/exohtml/HD-23472_d_Spc.png
47,HD 23472 b,HD 23472,8.32,2.0,6.15,543.0,17.667087,,http://www.exoplanetkyoto.org/exohtml/HD-23472_b_Spc.png
48,HD 23472 c,HD 23472,3.41,1.87,3.1,467.0,29.79749,,http://www.exoplanetkyoto.org/exohtml/HD-23472_c_Spc.png
49,HD 23472 e,HD 23472,0.72,0.818,7.5,723.0,7.90754,,http://www.exoplanetkyoto.org/exohtml/HD-23472_e_Spc.png
51,TOI-1444 b,TOI-1444,3.87,1.397,,,0.4702694,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1444_b_Spc.png
52,TOI-2196 b,TOI-2196,,3.503,,1720.85567669,1.19539684,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2196_b_Spc.png
53,TOI-1266 c,TOI-1266,6.4,1.673,,347.1,18.80152,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1266_c_Spc.png
55,TOI-1246 d,TOI-1246,,3.003,,642.0,18.6548112,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_d_Spc.png
56,TOI-1670 b,TOI-1670,41.31769,2.06,8.6,1062.0,10.98462,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1670_b_Spc.png
57,TOI-2081 b,TOI-2081,,2.04,,488.0,10.50534,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2081_b_Spc.png
58,HD 191939 b,HD 191939,,3.328,,845.0,8.880327,,http://www.exoplanetkyoto.org/exohtml/HD-191939_b_Spc.png
59,TOI-2567 b,TOI-2567,,10.836,,1315.0,5.9839451,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2567_b_Spc.png
60,TOI-1670 c,TOI-1670,,10.881,,625.0,40.7500411,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1670_c_Spc.png
62,HD 191939 d,HD 191939,,3.16,,499.0,38.3561,,http://www.exoplanetkyoto.org/exohtml/HD-191939_d_Spc.png
63,TOI-1298 b,TOI-1298,113.14691,9.427,0.743,1388.0,4.537164,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1298_b_Spc.png
64,TOI-1452 b,TOI-1452,,1.473,,350.0,11.0619361,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1452_b_Spc.png
65,TOI-1130 b,TOI-1130,,3.65,,810.0,4.066499,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1130_b_Spc.png
66,TOI-1259 A b,TOI-1259 A,140.16233,11.456,0.513,963.0,3.477978,,http://www.exoplanetkyoto.org/exohtml/TOI-1259-A_b_Spc.png
68,HIP 97166 b,HIP 97166,,2.731,,623.0,10.2888964,,http://www.exoplanetkyoto.org/exohtml/HIP-97166_b_Spc.png
69,TOI-1296 b,TOI-1296,,14.909,,1486.0,3.9443725,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1296_b_Spc.png
70,HD 219666 b,HD 219666,16.6,4.71,0.87,1073.0,6.03607,,http://www.exoplanetkyoto.org/exohtml/HD-219666_b_Spc.png
71,L 98-59 d,L 98-59,,1.722,,307.0,7.4507325,,http://www.exoplanetkyoto.org/exohtml/L-98-59_d_Spc.png
72,TOI-1201 b,TOI-1201,,2.219,,639.981742614,2.49197708,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1201_b_Spc.png
73,GJ 3090 b,GJ 3090,,2.127,,650.18562687,2.85310081,,http://www.exoplanetkyoto.org/exohtml/GJ-3090_b_Spc.png
74,TOI-2158 b,TOI-2158,,10.799,,837.0,8.6007557,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2158_b_Spc.png
76,pi Men c,HD 39091,4.52,2.06,2.82,1147.0,6.26834,,http://www.exoplanetkyoto.org/exohtml/pi-Men_c_Spc.png
79,HD 1397 b,HD 1397,131.89945,11.5,0.477,1228.3,11.53533,,http://www.exoplanetkyoto.org/exohtml/HD-1397_b_Spc.png
80,TOI-125 d,TOI-125,,2.876,,575.408772087,19.9812509,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-125_d_Spc.png
82,TOI-1820 b,TOI-1820,731.00534,12.778,2.0,1375.0,4.860674,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1820_b_Spc.png
85,TOI-1246 c,TOI-1246,8.8,2.51,3.21,860.0,5.904144,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1246_c_Spc.png
87,HD 152843 b,HD 152843,11.56,3.41,1.58,,11.6264,,http://www.exoplanetkyoto.org/exohtml/HD-152843_b_Spc.png
88,HD 152843 c,HD 152843,27.5,5.83,0.82,,24.38,,http://www.exoplanetkyoto.org/exohtml/HD-152843_c_Spc.png
90,TOI-3884 b,TOI-3884,,5.718,,429.0,4.5445569,,http://www.exoplanetkyoto.org/exohtml/TOI-3884_b_Spc.png
92,TOI-172 b,TOI-172,1722.6386,10.817,7.53,1198.0,9.47725,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-172_b_Spc.png
93,TOI-150.01,TOI-150,556.2025,15.468,0.83,1493.0,5.857342,,http://www.exoplanetkyoto.org/exohtml/TOI-150._1_Spc.png
95,TOI-163 b,TOI-163,387.7526,16.69,0.49,1669.0,4.231306,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-163_b_Spc.png
99,HD 332231 b,HD 332231,,9.935,,862.0,18.7121918,,http://www.exoplanetkyoto.org/exohtml/HD-332231_b_Spc.png
100,TOI-1235 b,TOI-1235,,1.755,,726.0,3.4446942,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1235_b_Spc.png
103,TOI-169 b,TOI-169,251.40353,12.173,0.76,1715.0,2.2554477,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-169_b_Spc.png
108,TOI-3714 b,TOI-3714,222.47988,11.321,0.85,750.0,2.154849,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-3714_b_Spc.png
111,TOI-892 b,TOI-892,,12.034,,1361.0,10.6265837,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-892_b_Spc.png
112,TOI-561 f,TOI-561,,2.156,,624.88208033,16.35738526,,http://www.exoplanetkyoto.org/exohtml/TOI-561_f_Spc.png
113,HD 183579 b,HD 183579,11.2,3.53,1.4,748.0,17.471275,,http://www.exoplanetkyoto.org/exohtml/HD-183579_b_Spc.png
114,TOI-540 b,TOI-540,,,,,1.2391481,http://www.exoplanetkyoto.org/exohtml/Planets/SnowBallEarth.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-540_b_Spc.png
115,L 98-59 c,L 98-59,,1.35,,,3.690621,,http://www.exoplanetkyoto.org/exohtml/L-98-59_c_Spc.png
116,TOI-1062 c,TOI-1062,,,,859.0,7.972,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1062_c_Spc.png
117,LHS 1678 c,LHS 1678,1.4,0.982,10.6,,3.694247,,http://www.exoplanetkyoto.org/exohtml/LHS-1678_c_Spc.png
