,star_name,st_teff,st_lumclass,st_age,st_rad,st_mass,st_logg
0,HIP 3419,4944.0,GIANT,,16.79,3.63,
1,HIP 3765,4944.0,MAINSEQ,11.4,0.76,0.76,4.59
2,HIP 3821 A,5941.0,MAINSEQ,2.88,1.05,0.99,4.44
3,HIP 3909,6250.0,MAINSEQ,,1.16,1.17,4.28
4,HIP 4151,6196.0,MAINSEQ,,1.66,1.39,
5,HIP 5336,5526.0,MAINSEQ,,0.74,0.82,4.49
6,HIP 5862,6116.0,MAINSEQ,2.88,1.25,1.17,4.35
7,ups And,6213.0,MAINSEQ,3.12,1.64,1.31,4.16
8,HIP 7751 B,5016.0,MAINSEQ,5.5,0.71,0.75,4.64
9,HIP 7918,5874.0,MAINSEQ,,1.18,1.11,4.35
10,HD 10647,6105.0,MAINSEQ,2.92,1.14,1.1,4.39
11,HIP 7981,5181.0,MAINSEQ,8.7,0.82,0.82,4.54
12,HIP 171,5502.0,MAINSEQ,,0.92,0.91,4.27
13,HD 142,6249.0,MAINSEQ,3.12,1.4,1.23,4.26
14,HIP 544,5577.0,MAINSEQ,1.9,0.88,0.98,4.57
15,HIP 677,13098.0,MAINSEQ,,3.07,4.12,3.91
16,HIP 746,6915.0,MAINSEQ,,3.76,2.37,3.49
17,HIP 910,6255.0,MAINSEQ,,1.57,1.37,4.18
18,HIP 1599,5948.0,MAINSEQ,4.84,1.07,1.01,4.41
19,HIP 2021,5873.0,MAINSEQ,6.32,1.84,1.14,3.99
20,HIP 2072,7922.0,MAINSEQ,,1.9,1.92,3.97
21,HIP 2081,4436.0,GIANT,,15.88,3.15,2.53
22,HIP 2941 A,5480.0,MAINSEQ,,1.27,1.07,4.28
23,HD 3651,5221.0,MAINSEQ,8.2,0.88,0.88,4.51
24,tau Cet,5283.0,MAINSEQ,,0.83,0.8,4.52
25,HIP 8362,5327.0,MAINSEQ,10.12,0.85,0.85,4.52
26,HIP 8497,7087.0,MAINSEQ,,1.64,1.59,4.1
27,HIP 8796,6273.0,MAINSEQ,,3.15,1.96,3.57
28,HIP 8903,8300.0,MAINSEQ,,2.4,2.28,4.1
29,HIP 9007,5182.0,GIANT,,4.1,1.85,
30,HIP 9236,7201.0,MAINSEQ,,3.44,2.37,3.37
31,alf Ari,4504.0,GIANT,,15.21,3.13,2.2
32,GJ 86,5151.0,MAINSEQ,11.3,0.8,0.8,4.54
33,HIP 10644,5667.0,MAINSEQ,,1.14,1.05,
34,HIP 12114,4866.0,MAINSEQ,0.54,0.76,0.81,4.62
35,HIP 12706 A,8673.0,MAINSEQ,,2.04,2.19,3.96
36,HIP 12777,6344.0,MAINSEQ,0.64,1.23,1.24,4.38
37,HIP 12828,7225.0,MAINSEQ,,2.09,1.84,3.9
38,HIP 12843,6378.0,MAINSEQ,,1.38,1.31,4.06
39,HIP 13402,5236.0,MAINSEQ,1.5,0.8,0.89,4.6
40,HIP 14146,8045.0,MAINSEQ,,1.95,1.98,3.93
41,HIP 14576,9634.0,MAINSEQ,,4.27,3.56,
42,HIP 14632,6032.0,MAINSEQ,4.2,1.38,1.18,4.27
43,HIP 14879 A,6258.0,MAINSEQ,,1.96,1.53,3.81
44,HIP 15330,5699.0,MAINSEQ,1.56,0.92,0.96,4.51
45,HIP 15371,5845.0,MAINSEQ,3.72,0.99,0.99,4.47
46,HIP 15457,5742.0,MAINSEQ,2.2,0.95,1.03,4.52
47,HD 20794,5401.0,MAINSEQ,13.5,0.92,0.85,4.46
48,HIP 16245,6629.0,MAINSEQ,,1.73,1.52,3.86
49,eps Eri,5146.0,MAINSEQ,2.6,0.77,0.86,4.61
50,HIP 16852,6038.0,MAINSEQ,5.64,1.58,1.16,4.12
51,HIP 17378,5095.0,GIANT,6.28,2.27,1.19,4.01
52,HIP 17440,4514.0,GIANT,,10.22,2.56,
53,HIP 17651,6631.0,MAINSEQ,,1.76,1.54,4.06
54,HD 26965,5151.0,MAINSEQ,12.2,0.82,0.81,4.55
55,HIP 19859,5999.0,MAINSEQ,,1.01,1.05,4.45
56,HIP 19893,7060.0,MAINSEQ,,1.75,1.64,3.97
57,HD 27442,4846.0,GIANT,2.84,3.43,1.48,3.56
58,alf Tau,3889.0,GIANT,,47.7,4.84,
59,HIP 21770,6991.0,MAINSEQ,,1.61,1.56,4.01
60,HIP 22263,5759.0,MAINSEQ,6.08,1.01,0.98,4.43
61,HD 30562,5937.0,MAINSEQ,4.0,1.58,1.28,4.16
62,HIP 22449,6424.0,MAINSEQ,2.84,1.32,1.24,4.26
63,GJ 179,3277.0,MAINSEQ,,0.41,0.36,
64,HIP 23311,4827.0,MAINSEQ,5.3,0.78,0.84,4.61
65,HIP 23693,6246.0,MAINSEQ,,1.06,1.12,4.28
66,HIP 23835,5694.0,MAINSEQ,9.84,1.59,1.02,4.06
67,HIP 23875,8377.0,MAINSEQ,,3.35,2.72,3.29
68,HIP 24205,5904.0,MAINSEQ,3.52,1.02,1.02,4.44
69,HIP 24608,5356.0,GIANT,,14.61,3.66,
70,HIP 24813,5911.0,MAINSEQ,6.48,1.28,1.08,4.29
71,HIP 25278,6202.0,MAINSEQ,,1.16,1.16,4.51
72,HD 39091,5950.0,MAINSEQ,5.44,1.18,1.07,4.35
73,HIP 26779,5351.0,MAINSEQ,1.9,0.82,0.91,4.6
74,HIP 27072,6372.0,MAINSEQ,,1.3,1.27,4.31
75,HIP 27288,8337.0,MAINSEQ,,1.88,2.02,4.03
76,bet Pic,8052.0,MAINSEQ,,1.55,1.76,4.15
77,HD 38858,5726.0,MAINSEQ,5.4,0.95,0.94,4.47
78,HIP 27628,4545.0,GIANT,,11.69,2.76,2.62
79,HIP 27890,4661.0,GIANT,,5.38,1.9,2.92
80,HIP 27913,5882.0,MAINSEQ,4.32,1.05,1.03,4.44
81,HIP 28103,7069.0,MAINSEQ,,1.64,1.58,4.01
82,HIP 28360,9024.0,MAINSEQ,,4.31,3.34,3.71
83,HIP 29271,5587.0,MAINSEQ,8.76,0.99,0.94,4.45
84,7 CMa,4799.0,GIANT,,5.01,1.89,3.05
85,HIP 32349,9580.0,MAINSEQ,,2.0,2.4,4.2
86,HIP 32362,6455.0,MAINSEQ,,2.86,1.92,3.61
87,HIP 32607,7536.0,MAINSEQ,,3.54,2.51,3.42
88,HIP 33202 A,7064.0,MAINSEQ,,1.76,1.64,
89,HIP 34065,5827.0,MAINSEQ,8.56,1.14,0.98,4.34
90,HIP 34834,6907.0,MAINSEQ,,1.72,1.59,3.78
91,HIP 35136,5866.0,MAINSEQ,,1.2,1.12,4.23
92,HIP 35550,6906.0,MAINSEQ,,2.35,1.87,3.68
93,HIP 36366,7035.0,MAINSEQ,,1.63,1.57,4.06
94,HD 60532,6262.0,MAINSEQ,,2.59,1.77,3.83
95,HIP 36850 A,8932.0,MAINSEQ,,3.06,2.78,
96,HIP 37279,6543.0,MAINSEQ,1.85,1.98,1.49,4.06
97,HD 62509,4850.0,GIANT,,9.06,2.59,2.52
98,HIP 37853,6002.0,MAINSEQ,,1.14,1.11,4.87
99,HIP 38382 A,5826.0,MAINSEQ,,1.42,1.21,4.24
100,HIP 38908,5949.0,MAINSEQ,3.2,1.07,1.06,4.43
101,HIP 39757,6449.0,MAINSEQ,,3.94,2.26,
102,HIP 39903,6467.0,MAINSEQ,,1.65,1.45,3.97
103,HIP 40167 A,5741.0,MAINSEQ,,2.16,1.48,
104,HD 69830,5361.0,MAINSEQ,9.4,0.9,0.85,4.47
105,HIP 40702,6625.0,MAINSEQ,,2.11,1.69,3.96
106,HIP 40706,7790.0,MAINSEQ,,1.85,1.87,4.11
107,HD 70642,5706.0,MAINSEQ,6.24,1.02,1.0,4.45
108,HIP 42438,5920.0,MAINSEQ,,0.96,1.01,
109,HIP 42913 A,9021.0,MAINSEQ,,4.02,3.23,3.79
110,55 Cnc,5235.0,MAINSEQ,9.5,0.93,0.96,4.48
111,GJ 328,3920.0,MAINSEQ,,0.67,0.55,
112,HIP 44127,7769.0,MAINSEQ,,1.76,1.81,3.91
113,HIP 44248 A,6538.0,MAINSEQ,,1.85,1.56,3.98
114,HIP 44901,7231.0,MAINSEQ,,2.15,1.87,
115,HIP 45038 A,6180.0,MAINSEQ,,1.81,1.46,
116,HIP 45170,5270.0,MAINSEQ,,1.22,1.01,4.29
117,HIP 46509,6488.0,MAINSEQ,,1.52,1.4,
118,HIP 46651 A,6837.0,MAINSEQ,,2.32,1.83,3.77
119,HIP 46733,6875.0,MAINSEQ,,2.86,2.05,
120,HIP 46853,6334.0,MAINSEQ,,2.41,1.73,3.8
121,HIP 47080,5370.0,MAINSEQ,,1.06,0.96,4.4
122,HIP 47592,6152.0,MAINSEQ,4.0,1.25,1.12,4.32
123,HIP 49081,5700.0,MAINSEQ,9.52,1.06,0.96,4.4
124,HIP 49593,7839.0,MAINSEQ,,1.77,1.84,4.07
125,HIP 49669,11962.0,MAINSEQ,,3.42,3.97,3.56
126,HD 87883,4958.0,MAINSEQ,9.84,0.78,0.8,4.56
127,HIP 49908,4109.0,MAINSEQ,,0.64,0.56,
128,HIP 50564,6476.0,MAINSEQ,,1.73,1.49,4.08
129,HIP 50954,6885.0,MAINSEQ,,1.67,1.56,4.24
130,HIP 51459,6126.0,MAINSEQ,2.68,1.15,1.12,4.39
131,HIP 51986 A,7274.0,MAINSEQ,,2.61,2.08,4.05
132,HIP 53229,4833.0,GIANT,,7.9,2.41,
133,HIP 53253,5014.0,GIANT,,7.07,2.36,
134,47 UMa,5882.0,MAINSEQ,6.48,1.24,1.06,4.31
135,HIP 53910,9342.0,MAINSEQ,,3.3,3.03,3.7
136,HIP 54182,7010.0,MAINSEQ,,2.13,1.8,
137,HIP 54872,8037.0,MAINSEQ,,2.62,2.3,3.72
138,HIP 55642 A,6600.0,MAINSEQ,,2.66,1.89,3.7
139,HIP 55705,7805.0,MAINSEQ,,1.92,1.9,3.86
140,HD 99492,4955.0,MAINSEQ,8.6,0.76,0.83,4.61
141,HIP 56452,5189.0,MAINSEQ,0.76,0.76,0.81,4.6
142,HIP 56997,5488.0,MAINSEQ,5.1,0.9,0.85,4.48
143,HD 102365,5630.0,MAINSEQ,9.48,0.96,0.89,4.45
144,HIP 57632,8378.0,MAINSEQ,,1.81,1.99,4.22
145,HIP 57757,6161.0,MAINSEQ,2.96,1.7,1.35,4.14
146,HIP 58001,9272.0,MAINSEQ,,3.35,3.02,3.64
147,HIP 58576,5565.0,MAINSEQ,8.48,1.01,0.98,4.43
148,HIP 59072,6950.0,MAINSEQ,,1.84,1.65,4.01
149,HIP 59199,7081.0,MAINSEQ,,1.42,1.48,4.23
150,HIP 59774,8613.0,MAINSEQ,,2.29,2.31,3.7
151,HIP 60729,5778.0,MAINSEQ,8.96,1.39,1.05,4.21
152,HIP 60965,10207.0,MAINSEQ,,2.43,2.83,3.97
